"x","y","a","l","v","k","f","mx"
-70.01806,-15.823333,2.72358905764572,0.0590102461923692,0.551174388220809,0.0888826569542289,0.0854,3.80096054007953
-73.35583,-15.288056,2.28296024843306,0.0312404153496889,1.61474078691323,0.0561380763518518,0.0854,1.48277490640464
-72.89389,-15.211111,2.30081992230046,0.0368292542983976,1.8797385705635,0.0660953516978771,0.0854129118020366,1.19525518832257
-72.64861,-15.838056,2.11776603653456,0.0334251621837544,1.70653280806602,0.0693485758919269,0.0917854298263216,1.10551728670249
-71.64944,-15.179722,3.14845961775451,0.0707012674381929,1.31809426293916,0.0670245536195657,0.0854447207180223,3.03181307313775
-71.45306,-15.485556,2.6425516485167,0.0477752568973716,1.35577949583005,0.0805001648142934,0.0854,2.37151889721865
-70.89806,-14.948889,2.96591439500514,0.0591715901565682,0.802628415414109,0.0738642510026693,0.0854,3.75981438275995
-70.6775,-15.491389,2.63596513650229,0.0535626035994444,1.00687168495511,0.0890494341618837,0.0854012133880361,2.63684052720023
-70.72833,-14.796389,2.81447582183056,0.0542322200494396,0.616703563956241,0.0654511305159952,0.096581655384694,4.04580434825513
-71.08778,-15.836667,2.66907695729494,0.0462722046431114,1.07674067255072,0.0713169132978869,0.0854,2.7380621482837
-70.59278,-14.881111,2.80159996665302,0.0525919631132179,0.578833473509088,0.0893087548324378,0.0854001510757221,4.31539006362462
-70.35556,-14.694722,2.69217511100797,0.0423549587927343,0.513303141813105,0.0870740849812682,0.0854,3.92386091932535
-70.34639,-15.6393,2.75583999627961,0.0507971160037379,0.678375757042992,0.0748883651932929,0.0854,3.80096163234112
-70.11861,-15.135556,2.74199746600421,0.0435644144557502,0.457611563251762,0.0696602219343185,0.0854000033392051,4.70978352259278
-69.7625,-15.203333,2.48875374266272,0.0467620144012159,0.370966684533635,0.0725347865140305,0.0854000000205948,4.30087967102573
-69.49139,-15.389722,2.15427258449663,0.0450101569279091,0.330283279791677,0.0756863648071885,0.0854,4.70978353660067
-69.8443,-15.6158,3.00915003900735,0.0503266997875986,0.483667320989182,0.0754483708449322,0.0854001106868565,4.70978917100973
-73.64389,-14.050833,3.33647878661362,0.050488417860289,1.48990103837829,0.0554923638534459,0.0854151822651343,3.44339522478772
